AlbumId,AlbumName,AlbumReleaseDate,,,
3kfkxl2YWSDZ4MQRa9zfdP,The Pinkprint (Deluxe Edition),12/15/14,,,
39WwaUn8HTVZpJJmAuIIHN,The Pinkprint,12/12/14,,,
1IOHcoY4gPRECxpIhVGmuq,The Pinkprint,12/15/14,,,
2hkVDGe49h6QCUOq1U7MJT,The Pinkprint,12/12/14,,,
59MdvdFat6bnx3rCz7U2Cr,The Pinkprint,12/15/14,,,
40XGTQ7FN6Y3dZXJhKBe96,The Pinkprint (International Deluxe Explicit),12/12/14,,,
5ooCuPIk58IwSo6DRr1JCu,The Pinkprint (Deluxe),12/15/14,,,
506tSgFO28YCEALMLihVPB,Fifth Harmony,10/29/17,,,
0kHFNaPXHGZitDEqNb88ws,Fifth Harmony,8/25/17,,,
24L75CzM3lqg3yAm4oTIVR,7/27 (Deluxe),5/27/16,,,
0pF0oyuPNdOObniB1Ng0kW,7/27 (Deluxe),5/27/16,,,
0pCPQnnke1GVs5KVmGX3Wq,7/27 (Deluxe),5/27/16,,,
5Jc1exMJvrF4wBIcCLiK7e,7/27 (Japan Deluxe Edition),5/27/16,,,
5I0cpsYbmWXXiseiYuxnW4,Reflection,1/28/15,,,
0zAsh6hObeNmFgFPrUiFcP,Reflection (Deluxe),1/30/15,,,
5rjFDzTChReteoOpyf36FY,Reflection,1/30/15,,,
6IBUil5AQA6wPLCzpYrlMI,Reflection (Japan Deluxe Edition),2014,,,
4P5MjGUlDkzd344A1USoOP,Life Changes,9/8/17,,,
4w5Jvreahp3yvLqc4vCr9I,Life Changes,9/8/17,,,
0qOpKQX8DBZaI6lhXv5aa0,Tangled Up (Deluxe),10/28/16,,,
1RQS3MTblhfez1C30TjkZZ,Tangled Up (Deluxe),10/28/16,,,
5EJgQd6IcN7xvdmpARRk5b,Tangled Up,9/25/15,,,
4ykbJPI8MPscFzROE8dqLy,Tangled Up,9/25/15,,,
65vvyHtiPwv9xiQFRdmjoM,It Goes Like This,1/1/13,,,
2ZHYOFW5giX6a4n5eqTnUB,It Goes Like This,1/1/13,,,
4sSCuPTJst3sfhHRvC76Ra,It Goes Like This,2012,,,
0ivofMePHZW6N22GLlwUEU,Unforgettable (Radio Mix),11/17/17,,,
3vOgbDjgsZBAPwV2M3bNOj,The Marshall Mathers LP2,11/5/13,,,
22bdIdviOSWmmYEhQxZ7jw,The Marshall Mathers LP2,11/5/13,,,
6Vn28iXHIwxmvh4Va0hSoe,The Marshall Mathers LP2,11/5/13,,,
5jw98maCAg70NvzLHy8hcB,The Marshall Mathers LP2,11/5/13,,,
1pmNw2hgzRcHoyZAfE0VTS,The Marshall Mathers LP2,11/5/13,,,
2NDWe8wEVGozh9VigPwQGj,The Marshall Mathers LP2,11/5/13,,,
6DN7GcZF1HywzrkGN6Eeqk,The Marshall Mathers LP2 (Deluxe),11/5/13,,,
3qGeRY1wt4rrLIt1YuSwHR,The Marshall Mathers LP2 (Deluxe),11/5/13,,,
47BiFcV59TQi2s9SkBo2pb,Recovery,6/18/10,,,
3PogVmhNucYNfyywZvTd7F,Recovery,6/18/10,,,
2UJwKSBUz6rtW4QLK74kQu,BEYONCÌä [Platinum Edition],11/24/14,,,
6KPiNRUaPSuFVes2xEUjYk,BEYONCÌä [Platinum Edition],11/24/14,,,
7vZizzCMyhrVSDe7ngA7i8,4: The Remix,4/23/12,,,
6RS1XvMUnj5HfHunnNzSSW,I Am...Tour Instrumentals,2/1/11,,,
6sUoihv7EBflLLP4VriHUe,4,1/6/12,,,
1gIC63gC3B7o7FfpPACZQJ,4,2011,,,
7cvVgT5RXbcUo9Qw4nq31D,4,6/24/11,,,
5O7PYNgE3VLWrvB80fIaDZ,I Am...World Tour,11/26/10,,,
7sJrStyxsdgeQOUlBszizA,Above And BeyoncÌ© Dance Mixes,6/16/09,,,
1mLK9n3KBlgsRgPX3nlSwf,I AM...SASHA FIERCE,11/14/08,,,
08eweM0IZoZPCCxODbrMoL,Thank You (Deluxe Version),5/12/17,,,
2LVxnBboz7pOnj9ZkibGUN,Thank You (Japan Version),5/18/16,,,
5nkgosKhWt1yXRzmjXNV2d,Thank You (Deluxe),5/13/16,,,
7m2Gzfu5nMgHTiMbNDwPr7,Title (Special Edition),11/20/15,,,
64xzmGX1FWXy4Co4wZp7A7,Title,3/4/15,,,
5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),1/9/15,,,
204UQM3vvZO2YZ6uOdj9xP,Title - Track by Track Commentary,1/8/15,,,
2WmgJ564fx8gNku6JdIjB5,I'm a Lady (from SMURFS: THE LOST VILLAGE),2/24/17,,,
5MoC1FC4NRBQLyg06iqpwr,Me Too,5/5/16,,,
0amBBGM3AiewXlsJ7zvBmj,Mom,4/29/16,,,
3cQO7jp5S9qLBoIVtbkSM1,Blurryface,5/15/15,,,
3kAeFRFteZe70K20xjC6Rm,quiet is viÌülent ep,8/1/14,,,
4RTM2aJ9TN4xhk3Qy1DhTV,Spotify Sessions,6/18/13,,,
213bMr2NI3VDcBLWpkKFxG,Vessel [Commentary Version],1/8/13,,,
3fo0F5z0ikwpsuv0OSiKPu,Vessel,1/4/13,,,
3f57KlLAHuV19bNpn21rvV,Vessel,2013,,,
2r2r78NE05YjyHyVbVgqFn,Vessel,2013,,,
14onjcwGXJFQnTmmCnTUfQ,Vessel (Bonus Tracks Version),1/4/13,,,
1Fexc96V24RL17Ko9VXUOM,Twenty One Pilots,12/29/09,,,
22uQ3YSLjQJPNPkZQzdX2y,Cancer,9/14/16,,,
4QkEMutmqlltycQry1EuA1,Fetty Wap,9/25/15,,,
2gKQvajkEEaDtkqJ8FJ4uw,Fetty Wap (Deluxe),9/25/15,,,
2JGohjiPfe7QNkrBmFZQLr,Fetty Wap (Deluxe),9/25/15,,,
4DM34NuOlqu5S8PZAje4iF,Fetty Wap (Deluxe),9/25/15,,,
3V2zK11kl50LP3hGsnb2WJ,Fetty Wap (Deluxe),9/25/15,,,
0mwVjzIzef3VieD5B6JtUI,Feels Great (feat. Fetty Wap & CVBZ),10/12/17,,,
4litONvbXev7z8LUcmdfUz,Feels Great (feat. Fetty Wap & CVBZ),10/13/17,,,
07uum6qmX7z9KsMmDshGp4,Feels Great (feat. Fetty Wap & CVBZ),10/13/17,,,
0gPhxo3VFErDt1UIzxuzNx,There She Go (feat. Monty),8/18/17,,,
5I7zsdXwk6aI6thp0eWEgK,There She Go (feat. Monty),8/19/17,,,
43v9cUsP5K0hvu9iyuAzmZ,Sounds Good Feels Good (Deluxe),10/23/15,,,
0D4PrQ0jSANUtiAxh4jdb3,Sounds Good Feels Good (Deluxe),10/23/15,,,
5lBzHMPjgxz9a4I4JevQAk,Sounds Good Feels Good,10/23/15,,,
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,1/1/14,,,
1w5D9eC3WgKWZZVUwB0GXE,5 Seconds Of Summer,1/1/14,,,
2LkWHNNHgD6BRNeZI2SL1L,5 Seconds Of Summer,1/1/14,,,
6GKIr03B2yvdP0TkWiGJVV,5 Seconds Of Summer,1/1/14,,,
7Dnhxs11cHzqTgPwee79GK,5 Seconds Of Summer,1/1/14,,,
3TgPAypIJ3wSvWKIy8ZVlW,5 Seconds Of Summer,1/1/14,,,
1tZr9O0ZcTrx1kaRriVT15,5 Seconds Of Summer (Deluxe),1/1/14,,,
64IFfMf7W67CLvXaYeRNB6,They Don't Know,9/9/16,,,
4zoJp3Lvtfx2BF3e1dC83K,They Don't Know,10/7/16,,,
2RIu1R2av2tWEu2MloUE6u,"Old Boots, New Dirt",9/17/14,,,
5p3nTBqh8WCoQfRDAaVp68,"Old Boots, New Dirt",10/7/14,,,
0O1r2kCgaW7EMaShSyfNdp,"Old Boots, New Dirt (Commentary)",10/7/14,,,
7z7iT4n1wEYDbNTr8FkgoR,Night Train,10/16/12,,,
2uXHwdc2aTcUP2EhXKhPRu,Night Train,10/16/12,,,
1vwqf42OUqrGJtLFqixZUB,My Kinda Party,11/2/10,,,
6gYk1JlSSmlUZGs1Lef1BI,My Kinda Party,11/2/10,,,
4Bhif8EJKTZaDF9hTqNysh,Wide Open,2009,,,
1EbYUMC56y5zK8O7EoEvSy,Greatest Hits Karaoke (Vol. 1),10/21/16,,,
1236yHELhjG4kDHx2fyN5d,Greatest Hits Karaoke (Vol. 1),10/21/16,,,
6FZ4eWJCVI3EJMi3SsgNKJ,Kill The Lights,8/7/15,,,
0WtCqmpVN7rRGfDMSWSXBA,Kill The Lights (Deluxe),8/7/15,,,
2PdS6upplK6sXmnDjfvuJ2,Kill The Lights (Deluxe),8/7/15,,,
7h35A9nSA5ZaQ2smItJNz8,Spring Break...Checkin' Out,3/6/15,,,
6OOTRO7lfMvDFQzNXby9i8,Spring Break...Checkin' Out,3/10/15,,,
54ZCcmTHjghuPkzFYJzPGf,Spring Break...Here To Party,3/1/13,,,
5M8gr5RV2eR6UkztC69ogB,Crash My Party,1/1/13,,,
3ayCRjV6cdxafnWTt6S918,Crash My Party,1/1/13,,,
1Kc7TpYwJQ0mzVAssuWbB0,Texoma Shore,11/3/17,,,
4JmphteFDt5gNZbgraR9Dc,If I'm Honest,5/20/16,,,
0ujKXmDetsmfjNvmwW546y,Reloaded: 20 #1 Hits,10/23/15,,,
0daIqjuhsQqXoeII3pBSeT,BRINGING BACK THE SUNSHINE,9/30/14,,,
7G5ORGckdPilGN7kkBeJx6,Studio Series Performance Tracks,6/4/13,,,
31Lu7MlcsZqfejpq65c3wM,Based on a True Story...,3/26/13,,,
6MzrSTAQdDR92tHLLAhYp0,Based on a True Story... (Deluxe Version),3/26/13,,,
4Jk9oJP4aUo6X2XSwTgnBh,"Cheers, it's Christmas. (Deluxe Version)",10/2/12,,,
1NPCjp8s7RPGujZdBjca90,Red River Blue (Deluxe Version),7/12/11,,,
1WXCjIDp84rJN6Sa1Um9kJ,Red River Blue (Deluxe),7/11/11,,,
48i37aZTC1prDr4EcpQeEa,ANTI,1/28/16,,,
2hNdpum500dG6mDXs87nbc,ANTI,1/28/16,,,
3Q149ZH46Z0f3oDR7vlDYV,ANTI,1/28/16,,,
3p39yDJtXkSw8QLMmB8yyD,ANTI,1/28/16,,,
2uN9icB3V4A5Tp7MiIvW2l,ANTI,1/28/16,,,
2JNVoEx4psIgNQyEExwQVn,ANTI (Deluxe),1/28/16,,,
4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),1/28/16,,,
19O3rXe4nDu9YDcc2tOQVn,ANTI (Deluxe),1/28/16,,,
3SJBLyMdjlp7N09Zb6sh4G,ANTI (Deluxe),1/28/16,,,
4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),1/28/16,,,
11FCLUM5m9GiuxjGEoTVF5,Christmas with Elvis and the Royal Philharmonic Orchestra (Deluxe),11/24/17,,,
44QNCqHYysoIey09uy9dDQ,The Wonder of You & Christmas with Elvis and the Royal Philharmonic Orchestra,11/24/17,,,
3PvJAMVTkr7nociDhr1wqt,Elvis: El Disco de Oro,10/13/17,,,
3099YJA5hoqm4xqoelA92D,Christmas with Elvis and the Royal Philharmonic Orchestra,10/6/17,,,
46qrICPWlwqpIPirMfAd7K,Elvis symphonique,8/4/17,,,
1obc6uvzMsDUd6Q76MP1kI,A Boy From Tupelo: The Complete 1953-1955 Recordings,7/28/17,,,
7mxsNoS5WUrhkW5gPYLFHo,Elvis Forever: The Best of Elvis Presley,7/27/17,,,
2kTL2bkqCBKBTLzXfZPGF7,The Wonder of You: Elvis Presley with the Royal Philharmonic Orchestra,10/21/16,,,
6oWz2hJ89n9mKarg3SO9ou,The Wonder of You: Elvis Presley with the Royal Philharmonic Orchestra,10/21/16,,,
0aDuEoOhb33KsJjfkaqaCr,Way Down in the Jungle Room,8/5/16,,,
7EONLzAPZFHzQZo3WIN4ve,The Best,9/27/17,,,
2A1KyqHu1DmLtjXpIMNoQq,Christmas & Chill (Japan Version),11/18/16,,,
1TVt7uWfV3vLiU8bEmBEWL,Dangerous Woman,5/20/16,,,
3OZgEywV4krCZ814pTJWr7,Dangerous Woman,5/20/16,,,
4lVR2fg3DAUQpGVJ6DciHW,Dangerous Woman,5/20/16,,,
0apOFZNs2zqZ9J9m9BqIcK,Dangerous Woman,5/20/16,,,
2ZUhCoeloo6Kd6w0HK9En6,Dangerous Woman,5/20/16,,,
2y5czZPYh8LrmTDLy1uOso,Dangerous Woman,5/20/16,,,
0ku0TzH0npL8HjnnBSz90h,Dangerous Woman,5/20/16,,,
008gkJbe7n4eG8cifJOyKY,Dangerous Woman,5/20/16,,,
3PcnonqYs9nFb6NwDMRZvG,Between Here and the Stars,7/18/16,,,
01ZRnEW0wdIfLtmvtFMFrV,Farmtown,9/20/14,,,
30IskwFCYoh7u0u9Y6kJ4p,Hometown,7/20/15,,,
6dF0RCDPUZVRWSk2AtBBER,Girl I Met On the Beach,7/19/15,,,
4NwPPhG4wuRFFJj9S8H3ol,Grandpa's Truck,6/11/13,,,
5tsgGiVeYO5L6tOLYBqSj3,Truck or a Tractor,6/11/13,,,
2Fe3hYnYLby6AuIosaKRF0,Grandma & Garth,10/20/12,,,
7bqU0j4HxEin4F7iId6QyN,Smalltown Star,10/20/12,,,
0XdXzUE3mO8ewqtEwKox3t,Something About a Smalltown,10/20/12,,,
711qQyaI7NPSEyFPWXnQ9v,Farmboy,9/29/12,,,
6FZ0Q7sIo4itjsjn4WYw2C,Heres to the Roc,7/8/15,,,
0Bj0Vzrnr87Ak8Yj11rOC7,Spitter,6/19/15,,,
5wYgsQRpjIoYHGdGvpbsBf,Sorry 4 the Wait 2,2/17/15,,,
1MROip7w49w3Rlokn2gmXJ,Loosing Myself,1/18/15,,,
2EZ3h6cM5eC65qSHCghdIZ,I Am Not A Human Being II,1/1/13,,,
1CROuTlI3r1e4i9z8u0JOE,I Am Not A Human Being II,1/1/13,,,
1RoSaq83yy7Nb1w5g0WLJG,I Am Not A Human Being II,1/1/13,,,
6z7EaQlRCnzhoqnRF8pFml,I Am Not A Human Being II,1/1/13,,,
25HraJdFg7VO6ZxwtUvUt6,I Am Not A Human Being II,1/1/13,,,
4rhNBjL39LW5tuZgRShtnx,I Am Not A Human Being II (Deluxe),1/1/13,,,
5SIv8bswuGB6inCuWbWCa2,Tell Me You Love Me,9/29/17,,,
233yswCIc7oCFpZ2M9t0wa,Tell Me You Love Me,9/29/17,,,
3pHwpfXwsiBvQRCZZ3uJmm,Tell Me You Love Me,9/29/17,,,
2ORy5KYE93mQn7bWrChA1h,Tell Me You Love Me,9/29/17,,,
2LGlGo4wHdPF2ZV1h0eX1A,Tell Me You Love Me (Deluxe),9/29/17,,,
3pgcHENAMBqdvBj65yvZLb,Tell Me You Love Me (Deluxe),9/29/17,,,
2JhP0S7TCpx1sRswQcySco,Tell Me You Love Me (Deluxe),9/29/17,,,
4LRpzzahGpWMobO0KsUT9z,Tell Me You Love Me (Deluxe),9/29/17,,,
32rX0ahjnEzytiE1mNhrQE,Spotify Sessions (Live from Spotify NYC),1/1/16,,,
357AFOYvuAzTKAVCKfMqV4,Spotify Sessions (Live from Spotify NYC),1/8/16,,,
2QBJu1rJWSPtTiWxwIY2H7,Red Pill Blues (Deluxe),11/3/17,,,
1Jmq5HEJeA9kNi2SgQul4U,Red Pill Blues (Deluxe),11/3/17,,,
1qvLKCq4Xh355Fq0VswCpH,Red Pill Blues (Deluxe),11/3/17,,,
2aSncvRehFzMZjiuXnb83Y,Red Pill Blues (Deluxe),11/3/17,,,
6vuZjMXLuVt5DRaEC8s1n3,Red Pill Blues (Deluxe),11/3/17,,,
3z4ASjF9zQ6efgXFr9bQXu,V (Deluxe),7/24/15,,,
1zxTHB0Arv2mL0C1l4fU5t,V (Extended Edition),8/14/15,,,
4KXLjIEas8MTwwX3xpmAdC,V (Deluxe),5/15/15,,,
7cVkMpmcdlEo67aMmffyoU,V (Deluxe),5/15/15,,,
0lHJwrDEFxrJhpB1gQoeMp,V (Deluxe),5/15/15,,,
0oDDkafimkfmBVssJF2X64,Between The Pines (Acoustic Mixtape),10/23/15,,,
6nzbjdK2dj24nEqAwDxilw,Between The Pines (Acoustic Mixtape),10/23/15,,,
1M0vpI6KG4y0RwRuQ8SQxT,Montevallo,10/24/14,,,
0V7c0hnrLUFJyHNtjiAT2E,Montevallo,10/27/14,,,
2aO5dy6212d4dg93KXYF82,Body Like A Back Road (15 In A 30 Tour Live),7/28/17,,,
4m8eBc88MJ4JJJWESOQpcO,Body Like A Back Road (15 In A 30 Tour Live),7/28/17,,,
2csR4QJK4P7hSxXWfhzPEs,Ex To See (15 In A 30 Tour Live),7/28/17,,,
1Zrx2fvgqjdoq8LtG0stxv,Ex To See (15 In A 30 Tour Live),7/28/17,,,
5MLTYZ0gTefWgNoRhGxmw8,Body Like A Back Road,2/1/17,,,
2N7kidh1wA9EoLdf16QWrz,Body Like A Back Road,2/1/17,,,
2QTMMjc4u72JCt3lVRQxjy,Cold Beer Conversation,9/25/15,,,
2j7T4D22NmAKo7CagRE0Qy,Cold Beer Conversation,9/25/15,,,
