ArtistId,ArtistTitle,ArtistDescription,,
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,contemporary country country country dawn country road modern country rock ,,
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,dance pop pop pop rap rap trap music ,,
58etTNn7xmsQZhjnfjpAXL,Porno for Pyros,alternative metal alternative rock funk metal funk rock grunge post-grunge rock ,,
6jJ0s89eD6GaHleKKya26X,Katy Perry,dance pop pop pop christmas post-teen pop ,,
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,dance pop pop pop christmas post-teen pop ,,
6roFdX1y5BYSbp60OTJWMd,Tim McGraw,contemporary country country country road ,,
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,canadian pop pop rap ,,
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,pop pop rap ,,
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,dance pop metropopolis neo mellow pop post-teen pop tropical house ,,
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,dance pop pop pop christmas ,,
0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,contemporary country country country christmas country road neo mellow pop rock ,,
26dSoYclwsYLMAKD3tpOr4,Britney Spears,dance pop pop pop christmas pop rap post-teen pop r&b urban contemporary ,,
6yJCxee7QumYr820xdIsjo,Zac Brown Band,contemporary country country country road modern country rock ,,
0EtVzrdehpxPQkKyEGA7eZ,Hearty2raw,,,
1RyvyyTE3xzB2ZywiAwp0i,Future,pop rap rap southern hip hop trap music ,,
32WkQRZEVKSzVAAYqukAEA,Lady Antebellum,contemporary country country country christmas country dawn country road modern country rock neo mellow pop christmas ,,
4bYPcJP5jwMhSivRcqie2n,Adam Levine,neo mellow pop pop christmas ,,
4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,dance pop hip pop motown neo soul new jack swing pop pop rap pop rock quiet storm r&b urban contemporary ,,
0u2FHSq3ln94y5Q57xazwf,Keith Urban,australian country contemporary country country country christmas country road ,,
2wY79sveU1sp5g7SokKOiI,Sam Smith,dance pop pop ,,
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,dance pop pop pop rap post-teen pop ,,
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,dance pop neo mellow pop post-teen pop r&b teen pop viral pop ,,
1ZwdS5xdxEREPySFridCfh,2Pac,g funk gangster rap hip hop pop rap rap west coast rap ,,
2NdeV5rLm47xAvogXrYhJX,Ciara,dance pop deep pop r&b hip pop neo soul pop pop rap post-teen pop r&b southern hip hop urban contemporary ,,
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,christian dance contemporary country country country road ,,
56x8mYvS3cyDGAi8N2FxbB,Randy Houser,contemporary country country country road lift kit modern country rock redneck ,,
2IvkS5MXK0vPGnwyJsrEyV,Eric Church,contemporary country country country road modern country rock ,,
0EmeFodog0BfCgMzAIvKQp,Shakira,dance pop latin latin pop pop ,,
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,dance pop pop pop rap post-teen pop ,,
3CygdxquGHurS7f9LjNLkv,Little Big Town,contemporary country country country christmas country dawn country road modern country rock ,,
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,crunk dance pop dirty south rap gangster rap hip hop pop rap rap southern hip hop trap music ,,
2bA6fzP0lMAQ4kz6CF61w8,Toby Keith,contemporary country country country christmas country road pop christmas ,,
2B3f7qZfjE4mLofOpDlvCe,Brian Collins,,,
5WUlDfRSoLAfcVSX1WnrxN,Sia,australian dance dance pop pop ,,
25IG9fa7cbdmCIy3OnuH57,Dixie Chicks,contemporary country country country christmas country dawn pop rock ,,
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,pop pop christmas pop rap rap ,,
5e4Dhzv426EvQe3aDb64jL,Shania Twain,canadian country canadian pop contemporary country country country dawn dance pop pop ,,
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,dance pop latin latin pop pop tropical ,,
75FnCoo4FBxH5K1Rrx0k5A,The Band Perry,contemporary country country country dawn country road modern country rock ,,
021hNAnkFIbyFyL97br6NB,Kellie Pickler,contemporary country country country christmas country dawn country road modern country rock ,,
7ApjMfT8P3bcePl99oKYFP,Randy Owen,,,
3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,contemporary country country country road modern country rock ,,
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,dance pop pop ,,
4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,glam rock ,,
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,big room edm progressive house tropical house ,,
0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,contemporary country country country road modern country rock ,,
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,dance pop dwn trap indie r&b pop pop christmas pop rap r&b southern hip hop trap music urban contemporary ,,
50co4Is1HCEo8bhOyUWKpn,Young Thug,dwn trap gangster rap pop rap rap trap music ,,
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,dance pop hip pop pop pop christmas pop rap post-teen pop r&b soul christmas urban contemporary ,,
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,dance pop hip pop pop pop rap post-teen pop r&b urban contemporary ,,
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,canadian pop dance pop pop post-teen pop viral pop ,,
26VFTg2z8YR0cCuwLzESi2,Halsey,dance pop etherpop indie poptimism pop post-teen pop tropical house ,,
3iOvXCl6edW5Um0fXEBRXy,The xx,alternative dance downtempo dream pop indietronica synthpop ,,
3hxWaqOFMEKfbdxs3O9Iwj,Kurt Stevens,,,
2mxe0TnaNL039ysAj51xPQ,R. Kelly,dance pop hip hop hip pop new jack swing pop pop christmas pop rap quiet storm r&b rap soul christmas southern hip hop urban contemporary ,,
3q7HBObVc0L8jNeTe5Gofh,50 Cent,east coast hip hop gangster rap hip hop pop rap rap ,,
3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney,contemporary country country country christmas country road pop christmas ,,
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,alternative metal nu metal post-grunge rap metal ,,
0z4gvV4rjIZ9wHck67ucSV,Akon,dance pop hip hop pop pop rap r&b rap southern hip hop ,,
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,alternative metal nu metal pop punk post-grunge rock ,,
5y2Xq6xcjJb2jVM54GHK3t,John Legend,indie r&b neo mellow neo soul pop pop christmas pop rap r&b soul christmas urban contemporary ,,
1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,contemporary country country country road modern country rock redneck ,,
30e8DmahrEamvLbFRPdWmk,Justin Moore,contemporary country country country christmas country road modern country rock redneck ,,
6FbDoZnMBTdhhhLuJBOOqP,Jewel,folk christmas folk-pop lilith new wave pop permanent wave pop christmas pop rock ,,
34bhyY8jfKez7uKakMfy4y,Maddie & Tae,contemporary country country country road modern country rock ,,
4BYxqVkZyFjtik7crYLg5Q,Chris Young,contemporary country country country road modern country rock ,,
7H6dkUChT5EoOQtUVMg4cN,Hunter Hayes,contemporary country country country christmas country road modern country rock neo mellow pop pop rock post-teen pop teen pop viral pop ,,
0q2lY1ZzFckzciuoMtUvck,Canaan Smith,contemporary country country country road lift kit modern country rock redneck ,,
6tbjWDEIzxoDsBA1FuhfPW,Madonna,dance pop europop new wave pop pop pop rock ,,
1VzMHXhxxdwQsIxFyAAJ9r,Albert Phillips,,,
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,contemporary country country country road modern country rock ,,
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,permanent wave pop pop christmas ,,
3nFkdlSjzX9mRTtwJOzDYB,JAY Z,east coast hip hop hip hop pop rap rap southern hip hop trap music ,,
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,dance pop pop pop christmas post-teen pop ,,
4hj2FZgz0JpNCrMIydRpTa,Lil Fizz,,,
5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,dance pop hip pop pop pop rap post-teen pop ,,
6pBNfggcZZDCmb0p92OnGn,Chase Rice,contemporary country country country road modern country rock redneck ,,
5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery,contemporary country country modern country rock viral pop ,,
1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,contemporary country country country road modern country rock ,,
70kkdajctXSbqSMJbQO424,Kacey Musgraves,contemporary country country country dawn country road modern country rock ,,
4mxWe1mtYIYfP040G38yvS,Alan Jackson,contemporary country country country christmas country road ,,
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,boy band dance pop europop pop pop christmas post-teen pop ,,
2dyeCWctcFRt3Pha76ONgb,Hank Williams, Jr.,contemporary country country country road country rock nashville sound outlaw country redneck southern rock traditional country ,
7gAppWoH7pcYmphCVTXkzs,The Vamps,dance pop pop post-teen pop tropical house viral pop ,,
0xOeVMOz2fVg5BJY3N6akT,Jaden Smith,,,
5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,dance pop europop hip pop pop post-teen pop r&b teen pop urban contemporary viral pop ,,
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,hip hop pop rap rap west coast rap ,,
4obzFoKoKRHIphyHzJ35G3,Becky G,dance pop pop post-teen pop ,,
7vCtweS8UVAXTyau2j0rDT,Josh Turner,contemporary country country country christmas country road modern country rock ,,
13YmWQJFwgZrd4bf5IjMY4,Brad Paisley,contemporary country country country christmas country road pop christmas ,,
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,dance pop europop hip pop pop pop rap pop rock post-teen pop r&b urban contemporary ,,
3zFs8X9v1e7Yqpv1wc9Cuw,Mikel Knight,redneck ,,
3QLIkT4rD2FMusaqmkepbq,Rachel Platten,dance pop neo mellow pop post-teen pop viral pop ,,
02rd0anEWfMtF7iMku9uor,Reba McEntire,contemporary country country country christmas country dawn country road nashville sound traditional country ,,
7FY5V3XMwlNBPitEjXowHQ,Darius Rucker,contemporary country country country christmas country road modern country rock pop rock ,,
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,contemporary country country road modern country rock ,,
7jmTilWYlKOuavFfmQAcu6,Barbra Streisand,adult standards cabaret christmas disco hollywood mellow gold opera soft rock vocal jazz ,,
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,emo modern rock pop punk ,,
3MHaV05u0io8fQbZ2XPtlC,Prince Royce,bachata latin latin hip hop latin pop merengue urbano reggaeton tropical ,,
2retT7MFwHDVTeGKDdybEx,K. Michelle,dance pop deep pop r&b dwn trap hip pop neo soul r&b southern hip hop trap music urban contemporary ,,
3e7awlrlDSwF3iM0WBjGMp,Little Mix,dance pop pop post-teen pop talent show ,,
2cFrymmkijnjDg9SS92EPM,blackbear,,,
7CajNmpbOovFoOoasH2HaY,Calvin Harris,edm electro house house pop progressive house ,,
2PaRhxWFaqCUZybJDDoNrf,Jana Kramer,contemporary country country country dawn country road modern country rock ,,
4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,country country christmas country rock mellow gold nashville sound outlaw country soft rock traditional country ,,
4OBJLual30L7gRl5UkeRcT,T.I.,crunk dance pop dirty south rap dwn trap gangster rap hip hop pop rap r&b rap southern hip hop trap music ,,
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,dance pop pop post-teen pop viral pop ,,
39NR3AUhpbbqKM33vWn2fp,Brothers Osborne,contemporary country country country road modern country rock ,,
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,dance pop pop pop rap post-teen pop tropical house ,,
0TImkz4nPqjegtVSMZnMRq,TLC,dance pop hip pop new jack swing pop pop christmas pop rap r&b soul christmas urban contemporary ,,
0urTpYCsixqZwgNTkPJOJ4,Aaliyah,dance pop deep pop r&b hip pop indie r&b neo soul pop pop rap r&b urban contemporary ,,
4akybxRTGHJZ1DXjLhJ1qu,Kirk Franklin,christian christmas gospel neo soul ,,
7dOBabd5O4CvKrg4iriHTM,Kid Rock,alternative metal nu metal post-grunge rap metal redneck rock ,,
5he5w2lnU9x7JFhnwcekXX,Skrillex,brostep complextro edm electro electro house ,,
5yj8noX90UYvg5w50rpZX3,Ed Roman,,,
4Ti0EKl2PVEms2NRMVGqNe,Don Williams,country country gospel country rock cowboy western nashville sound outlaw country traditional country ,,
3qbnxnvUqR14MJ9g8QwZJK,Lonestar,contemporary country country country christmas country road modern country rock ,,
2gBjLmx6zQnFGQJCAQpRgw,Nelly,dance pop dirty south rap gangster rap hip hop hip pop pop pop rap r&b rap southern hip hop urban contemporary ,,
5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,country country christmas country rock folk mellow gold nashville sound outlaw country singer-songwriter texas country traditional country ,,
1eBaQkCXWlq1vhCLMVFdqn,Zonke,kwaito kwaito house ,,
25uiPmTg16RbhZWAqwLBy5,Charli XCX,candy pop dance pop indie poptimism metropopolis pop post-teen pop tropical house ,,
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,modern rock pop pop rock stomp pop ,,
2gsggkzM5R49q6jpPvazou,Jessie J,dance pop pop pop rap post-teen pop r&b viral pop ,,
5Z1CCuBsyhEHngq3U5IraY,Westlife,boy band dance pop europop neo mellow pop pop christmas pop rock ,,
0NIIxcxNHmOoyBx03SfTCD,Tinashe,dance pop deep pop r&b hip pop indie r&b metropopolis pop pop rap post-teen pop r&b urban contemporary ,,
1HwM5zlC5qNWhJtM00yXzG,DMX,crunk dirty south rap east coast hip hop gangster rap hardcore hip hop hip hop pop rap rap southern hip hop ,,
20sxb77xiYeusSH8cVdatc,Meek Mill,dwn trap hip hop pop rap rap southern hip hop trap music ,,
23zg3TcAtWQy7J6upgbUnj,Usher,dance pop hip hop pop pop christmas pop rap r&b rap southern hip hop urban contemporary ,,
5vMAKlvvMNSRQRYCAvpG6S,Brandy Clark,contemporary country country ,,
32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,country country christmas country dawn traditional country ,,
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,alternative metal alternative rock modern rock permanent wave pop rock post-grunge rock ,,
0dlwjJe4kg9TgOMN184bJF,Mark Wills,contemporary country country country christmas country road modern country rock ,,
3MHaV05u0io8fQbZ2XPtlC,Prince Royce,bachata latin latin hip hop latin pop merengue urbano reggaeton tropical ,,
26AHtbjWKiwYzsoGoUZq53,Pentatonix,a cappella pop christmas viral pop ,,
0jnsk9HBra6NMjO2oANoPY,Flo Rida,dance pop edm pop pop rap post-teen pop southern hip hop tropical house ,,
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,dance pop pop pop christmas r&b soul christmas urban contemporary ,,
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,canadian pop candy pop dance pop neo mellow pop pop christmas pop rock post-teen pop ,,
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,dance pop pop pop rap rap ,,
2sxmKe3CUrWnx7eoXMhOlW,Dwight Yoakam,country country christmas country rock mellow gold nashville sound outlaw country roots rock southern rock texas country traditional country ,,
5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,contemporary country country country road modern country rock redneck ,,
67BqBdApdbZ0onglFqRoTg,Barbara Mandrell,country country christmas country gospel country rock cowboy western nashville sound traditional country ,,
6O7MpKrY91vlCd4Osi6XKs,Black Veil Brides,alternative metal emo metalcore pop punk rap metal screamo ,,
5yhxqYI0JBwUKfXpSEjiM8,Jamey Johnson,contemporary country country country road country rock modern country rock outlaw country redneck texas country traditional country ,,
4sVHOSg2D2BPQZQJuidfTJ,Jimmy Fortune,country christmas nashville sound ,,
75TY1HOpCamk88FtPeASvG,YonnieMcfly,,,
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,country christmas outlaw country singer-songwriter traditional country ,,
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,dance pop pop pop christmas post-teen pop tropical house viral pop ,,
3IhWQSrLj8EJjdvjFTpCyo,Vince Gill,contemporary country country country christmas country road country rock nashville sound traditional country ,,
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,modern rock pop vegas indie ,,
1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,contemporary country country country road modern country rock pop rock redneck ,,
6djNDzSg08mnh2Ayoh6Ovn,Larry HernÌÁndez,banda deep regional mexican duranguense grupera latin hip hop norteno regional mexican regional mexican pop ,,
3P33qFNGBVXl86yQYWspFj,Martina McBride,contemporary country country country christmas country dawn country road pop christmas ,,
0OpWIlokQeE7BNQMhuu2Nx,Colt Ford,contemporary country country country christmas country road lift kit modern country rock redneck ,,
7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,contemporary country country country road modern country rock ,,
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,album rock alternative rock classic rock glam metal hard rock rock ,,
31TPClRtHm23RisEBtV3X7,Justin Timberlake,boy band dance pop pop pop rap post-teen pop r&b urban contemporary ,,
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,dance pop neo mellow pop pop christmas pop rock post-teen pop r&b talent show viral pop ,,
2ye2Wgw4gimLv2eAKyk1NB,Metallica,alternative metal alternative rock hard rock metal nu metal rock speed metal thrash metal ,,
6ZV6lGY0prbqpTD0Md8i29,Scotty McCreery,contemporary country country country christmas country road lift kit modern country rock pop christmas ,,
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,canadian pop pop rap ,,
5r58HHe8qqQQzSVRvgK7Zt,Bim Skala Bim,ska ska punk ska revival traditional ska ,,
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,dance pop electronic pop ,,
2ptmyXoL7poH6Zq62h1QT9,Merle Haggard,country country christmas country gospel country rock cowboy western mellow gold nashville sound outlaw country southern rock texas country traditional country ,,
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,dance pop indie poptimism pop post-teen pop talent show teen pop viral pop ,,
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,dance pop pop post-teen pop ,,
55RI2GNCfyXr0f14uIdhwd,A Thousand Horses,contemporary country country country road lift kit modern country rock redneck ,,
0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,contemporary country country country christmas country road outlaw country pop christmas redneck traditional country ,,
3bhu7P5PfngueRHiB9hjcx,Elle King,,,
2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart,adult standards album rock classic rock folk christmas folk rock mellow gold rock singer-songwriter soft rock ,,
1nivFfWu6oXBFDNyVfFU5x,The Cadillac Three,contemporary country country country road lift kit modern country rock redneck southern rock ,,
05tyvnDgYMhgagYbUx9td4,Jacob Whitesides,channel pop pop post-teen pop teen pop viral pop ,,
1J2VVASYAamtQ3Bt8wGgA6,Ja Rule,crunk dance pop dirty south rap east coast hip hop gangster rap hardcore hip hop hip hop hip pop pop rap r&b rap urban contemporary ,,
1v3tdpIdBSW14rHUfiEVOv,Lauren Alaina,contemporary country country country dawn country road modern country rock ,,
4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,latin latin christmas latin pop salsa tropical ,,
0NbfKEOTQCcwd6o7wSDOHI,The Game,dirty south rap gangster rap hip hop pop rap rap southern hip hop trap music ,,
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,dance pop europop hip pop pop pop christmas pop rap post-teen pop r&b soul christmas urban contemporary ,,
3vHV92ecrylnUHDM4d2MtC,Tyler Farr,contemporary country country country road lift kit modern country rock redneck ,,
2VDsDEKCdNm7c7Ve43Z9gw,Clare Dunn,contemporary country lift kit ,,
6prmLEyn4LfHlD9NnXWlf7,Adam Lambert,dance pop idol pop post-teen pop viral pop ,,
3EA9hVIzKfFiQI0Kikz2wo,Andrea Bocelli,adult standards italian pop opera operatic pop pop christmas ,,
37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,contemporary country country country christmas country road modern country rock outlaw country redneck texas country traditional country ,,
2OpqcUtj10HHvGG6h9VYC5,George Jones,country country christmas country gospel country rock nashville sound outlaw country traditional country ,,
7gbmX8SsfjEjxDMzBi1ZOL,Joe Jonas,dance pop pop post-teen pop ,,
0Uh7SltdvcEKsuWqWohuyB,Krystal Keith,contemporary country country dawn ok indie ,,
1eYhYunlNJlDoQhtYBvPsi,Ray Charles,adult standards christmas classic rock electric blues jazz blues jazz christmas memphis soul motown piano blues rock-and-roll soul soul blues soul christmas southern soul vocal jazz ,,
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,alternative rock funk metal funk rock modern rock permanent wave rock ,,
3XnO697XIus1M0cMuxZjos,The Oak Ridge Boys,country country christmas country gospel country rock cowboy western nashville sound outlaw country traditional country ,,
1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,deep southern trap dwn trap pop rap rap southern hip hop trap music ,,
7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope,contemporary country country pop emo post-teen pop viral pop ,,
19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,dance pop deep pop r&b dwn trap hip pop indie r&b pop pop rap r&b rap southern hip hop trap music urban contemporary ,,
5lHRUCqkQZCIWeX7xG4sYT,Rich Homie Quan,deep trap dirty south rap dwn trap gangster rap pop rap rap southern hip hop trap music ,,
4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,adult standards album rock mellow gold soft rock ,,
05oH07COxkXKIMt6mIPRee,Brandy,dance pop deep pop r&b hip pop neo soul new jack swing pop pop rap quiet storm r&b urban contemporary ,,
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,dance pop piano rock pop pop christmas pop rock ,,
0TnOYISbd1XYRBk9myaseg,Pitbull,dance pop latin pop pop rap ,,
0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,dance pop hip pop indie r&b neo soul new jack swing pop pop rap quiet storm r&b urban contemporary ,,
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,g funk gangster rap hip hop pop christmas pop rap rap southern hip hop west coast rap ,,
2M4Yt7oKGoYd0wqU44k4i2,Travis Tritt,contemporary country country country christmas country road country rock modern country rock nashville sound outlaw country redneck traditional country ,,
3CjlHNtplJyTf9npxaPl5w,CHVRCHES,alternative dance indie pop indie poptimism indietronica metropopolis modern rock pop shimmer pop shiver pop synthpop tropical house ,,
163tK9Wjr9P9DmM0AVK7lm,Lorde,dance pop metropopolis pop post-teen pop ,,
0OTnx2X2FDXeewcm72lavT,Alison Krauss & Union Station,bluegrass folk progressive bluegrass ,,
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,east coast hip hop pop rap rap trap music ,,
3KV3p5EY4AvKxOlhGHORLg,Jeremih,dance pop dwn trap indie r&b pop pop christmas pop rap r&b rap southern hip hop trap music urban contemporary ,,
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,emo modern rock pop punk vegas indie ,,
4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,folk folk christmas folk-pop lilith mellow gold neo mellow new wave pop permanent wave pop christmas pop rock rock singer-songwriter ,,
79FMDwzZQxHgSkIYBl3ODU,Trace Adkins,contemporary country country country christmas country road modern country rock outlaw country redneck traditional country ,,
5LHRHt1k9lMyONurDHEdrp,Tyga,dance pop dwn trap gangster rap hip hop pop pop rap r&b rap southern hip hop trap music ,,
6vbJ4uZs8B8a0gCeWSQn6a,Ruby Rose Fox,,,
5spEJXLwD1sKUdC2bnOHPg,Bone Thugs-N-Harmony,crunk dirty south rap gangster rap hardcore hip hop hip hop pop rap rap southern hip hop trap music ,,
4DZGvSv2oMkBUnPz67E6z6,David Nail,contemporary country country country road lift kit modern country rock neo mellow pop rock ,,
0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,album rock art rock dance rock mellow gold new romantic new wave new wave pop pop rock rock soft rock synthpop ,,
2hJPr4lk7Q8SSvCVBl9fWM,Kip Moore,contemporary country country country road modern country rock redneck ,,
6NMcnx3vKGSAeqSMbySlpw,Wallpaper.,,,
7kFfY4UjNdNyaeUgLIEbIF,DeJ Loaf,deep pop r&b detroit hip hop dwn trap pop rap r&b rap southern hip hop trap music ,,
37BiX28I6pF104F92U1hDP,Ashley Monroe,contemporary country country country dawn country road modern country rock ,,
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,dance pop hip pop pop pop christmas post-teen pop r&b urban contemporary ,,
3MdG05syQeRYPPcClLaUGl,Diana Ross,adult standards brill building pop chicago soul classic funk rock dance pop disco funk mellow gold memphis soul motown new wave pop quiet storm r&b soft rock soul soul blues soul christmas urban contemporary ,,
0Y8KmFkKOgJybpVobn1onU,Luciano Pavarotti,canzone napoletana opera operatic pop ,,
